
******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

This is Ipopt version 3.12.8, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     7513
Number of nonzeros in inequality constraint Jacobian.:      300
Number of nonzeros in Lagrangian Hessian.............:     5300

Total number of variables............................:     1708
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      300
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1413
Total number of inequality constraints...............:      100
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      100

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 -2.4432449e+02 1.03e+07 2.00e+08   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1 -2.4934866e+02 4.91e+08 2.23e+17   4.0 4.20e+06   6.0 1.00e+00 1.32e-01h  1
   2 -2.4937597e+02 4.91e+08 5.42e+18   6.0 3.86e+06  11.8 1.63e-02 5.63e-04h  1
   3 -2.5751324e+02 6.66e+08 1.74e+23   6.0 4.26e+06  13.2 1.00e+00 2.89e-01f  1
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 1
  Increasing icntl[13] from 1000 to 2000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 2
  Increasing icntl[13] from 2000 to 4000.
MUMPS returned INFO(1) = -9 and requires more memory, reallocating.  Attempt 3
  Increasing icntl[13] from 4000 to 8000.
WARNING: Problem in step computation; switching to emergency mode.
   4r-2.5751324e+02 6.66e+08 1.00e+03   6.0 0.00e+00  19.0 0.00e+00 0.00e+00R  1
   5r-1.4205025e+02 4.07e+08 1.44e+04   3.8 1.72e+05    -  4.42e-01 8.83e-02f  1
   6r-1.4113967e+02 4.20e+08 4.18e+04   4.2 2.51e+02   2.0 9.27e-01 4.09e-01f  1
   7r-1.4033766e+02 4.25e+08 2.90e+04   2.8 1.47e+02   1.5 9.92e-01 1.00e+00f  1
   8r-1.4034097e+02 4.25e+08 3.45e+03   1.5 1.93e+00   2.9 9.93e-01 1.00e+00f  1
   9r-1.4034101e+02 4.25e+08 1.08e+03   0.1 4.55e+00   2.4 9.99e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r-1.4034104e+02 4.25e+08 1.00e+03  -1.7 1.27e+01   1.9 1.00e+00 1.00e+00f  1
  11r-1.4034106e+02 4.25e+08 1.00e+03  -3.5 3.80e+01   1.4 1.00e+00 1.00e+00f  1
  12r-1.4034106e+02 4.25e+08 1.00e+03  -4.9 1.14e+02   0.9 1.00e+00 6.15e-01f  1
  13r-1.4034106e+02 4.25e+08 1.00e+03  -5.8 3.42e+02   0.5 1.00e+00 2.05e-03f  1
  14r-1.4034106e+02 4.25e+08 1.00e+03  -5.7 1.04e+03  -0.0 1.00e+00 1.01e-03f  1
  15r-1.4033945e+02 4.25e+08 1.00e+03  -5.9 3.12e+03  -0.5 1.00e+00 8.12e-02f  1
  16r-1.4033942e+02 4.25e+08 1.00e+03  -4.8 9.35e+03  -1.0 1.00e+00 2.72e-04f  1
